temperature_K,z
810.9547738693467,1.3388377029809565e+271
815.929648241206,1.363447315886855e+271
820.9045226130653,1.388356953230818e+271
825.8793969849246,1.4135684380002941e+271
830.8542713567839,1.439083593304298e+271
835.8291457286432,1.4649042423742435e+271
840.8040201005024,1.4910322085647623e+271
845.7788944723617,1.5174693153544694e+271
850.753768844221,1.5442173863467355e+271
855.7286432160803,1.5712782452704046e+271
860.7035175879396,1.5986537159805226e+271
865.6783919597989,1.6263456224589966e+271
870.6532663316582,1.6543557888152683e+271
875.6281407035175,1.6826860392869408e+271
880.6030150753768,1.711338198240388e+271
885.5778894472361,1.7403140901713447e+271
890.5527638190954,1.769615539705461e+271
895.5276381909547,1.7992443715988392e+271
900.502512562814,1.829202410738553e+271
905.4773869346733,1.859491482143132e+271
910.4522613065326,1.890113410963033e+271
915.4271356783919,1.921070022481078e+271
920.4020100502512,1.952363142112883e+271
925.3768844221105,1.9839945954072533e+271
930.3517587939698,2.0159662080465615e+271
935.3266331658291,2.048279805847097e+271
940.3015075376884,2.0809372147594118e+271
945.2763819095477,2.1139402608686274e+271
950.251256281407,2.1472907703947103e+271
955.2261306532663,2.1809905696927757e+271
960.2010050251256,2.2150414852533063e+271
965.1758793969848,2.2494453437024024e+271
970.1507537688441,2.2842039718019886e+271
975.1256281407034,2.3193191964499967e+271
980.1005025125627,2.3547928446805445e+271
985.075376884422,2.3906267436640895e+271
990.0502512562813,2.4268227207075636e+271
995.0251256281406,2.463382603254489e+271
1000.0,2.5003082188850744e+271
